Defensive Technique Name		Techniques/Sub-Techniques it is a solution to
Remote Terminal Session Detection		Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, Use Alternate Authentication Material, Remote Services, Remote Service Session Hijacking, Exploitation of Remote Services, Lateral Tool Transfer, Application Access Token, Web Session Cookie, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Use Alternate Authentication Material, BITS Jobs, Traffic Signaling, Rogue Domain Controller, Web Session Cookie, Application Access Token, Port Knocking, User Execution, Malicious Link Execution, Account Manipulation, Event Triggered Execution, External Remote Services, BITS Jobs, Traffic Signaling, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, Port Knocking, Phishing, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, External Remote Services, Spearphishing Attachment, Spearphishing Link, Application Layer Protocol, Proxy, Web Service, Data Encoding, Traffic Signaling, Data Obfuscation, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Fallback Channels, Non-Application Layer Protocol, Multi-Stage Channels, Ingress Tool Transfer, Remote Access Software, Dynamic Resolution, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Symmetric Cryptography, Asymmetric Cryptography, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Man-in-the-Middle, Man in the Browser, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	110
RPC Traffic Analysis		Steal or Forge Kerberos Tickets, Kerberoasting, 	2
Connection Attempt Analysis		OS Credential Dumping, Brute Force, Man-in-the-Middle, DCSync, Password Spraying, Credential Stuffing, LLMNR/NBT-NS Poisoning and SMB Relay, Remote Services, Exploitation of Remote Services, Lateral Tool Transfer, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, Proxy, Internal Proxy, Account Manipulation, BITS Jobs, Event Triggered Execution, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, BITS Jobs, Rogue Domain Controller, Trusted Relationship, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, 	32
Inbound Session Volume Analysis		Exploit Public-Facing Application, Phishing, Spearphishing Attachment, Spearphishing Link, Network Denial of Service, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, 	8
Byte Sequence Emulation			0
Relay Pattern Analysis		Data Obfuscation, Fallback Channels, Application Layer Protocol, Proxy, Non-Application Layer Protocol, Web Service, Multi-Stage Channels, Ingress Tool Transfer, Data Encoding, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Junk Data, Steganography, Protocol Impersonation, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, Drive-by Compromise, BITS Jobs, BITS Jobs, User Execution, Malicious Link Execution, 	46
Platform Monitoring			0
Firmware Verification		Rootkit, Pre-OS Boot, System Firmware, Component Firmware, Pre-OS Boot, System Firmware, Component Firmware, 	7
Operating System Monitoring			0
Endpoint Health Beacon			0
Input Device Analysis		Input Capture, Audio Capture, Video Capture, Keylogging, Input Capture, Keylogging, 	6
Local Account Monitoring		Valid Accounts, Local Accounts, Valid Accounts, Local Accounts, Valid Accounts, Create Account, Local Accounts, Local Account, Valid Accounts, Create Account, Local Accounts, Local Account, 	12
Memory Boundary Tracking		Process Injection, Exploitation for Defense Evasion, Process Hollowing, Process Injection, Exploitation for Privilege Escalation, Process Hollowing, Input Capture, Credential API Hooking, Input Capture, Exploitation for Credential Access, Credential API Hooking, Exploitation for Client Execution, Exploitation of Remote Services, 	13
Scheduled Job Analysis		Masquerading, Masquerade Task or Service, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, 	20
System Daemon Monitoring		Impair Defenses, Disable or Modify Tools, 	2
System File Analysis		OS Credential Dumping, Modify Authentication Process, Proc Filesystem, Pluggable Authentication Modules, Masquerading, Process Injection, Indicator Removal on Host, Abuse Elevation Control Mechanism, Modify Authentication Process, Hijack Execution Flow, Rename System Utilities, Proc Memory, Clear Linux or Mac System Logs, Sudo and Sudo Caching, Pluggable Authentication Modules, LD_PRELOAD, Process Injection, Create or Modify System Process, Abuse Elevation Control Mechanism, Hijack Execution Flow, Proc Memory, Systemd Service, Sudo and Sudo Caching, LD_PRELOAD, Create or Modify System Process, Hijack Execution Flow, Systemd Service, LD_PRELOAD, 	28
Service Binary Verification		Input Capture, Web Portal Capture, Input Capture, Exploitation for Credential Access, Modify Authentication Process, OS Credential Dumping, Web Portal Capture, Domain Controller Authentication, Password Filter DLL, Pluggable Authentication Modules, Network Device Authentication, LSASS Memory, Security Account Manager, Proc Filesystem, Software Deployment Tools Execution, Software Deployment Tools Execution, Use Alternate Authentication Material, Application Access Token, Pass The Hash, Pass The Ticket, Web Session Cookie, Use Alternate Authentication Material, Modify Authentication Process, Masquerading, Process Injection, Indicator Removal on Host, Abuse Elevation Control Mechanism, Hide Artifacts, Hijack Execution Flow, Application Access Token, Pass The Hash, Pass The Ticket, Web Session Cookie, Domain Controller Authentication, Password Filter DLL, Pluggable Authentication Modules, Network Device Authentication, Rename System Utilities, Proc Memory, Clear Linux or Mac System Logs, Sudo and Sudo Caching, Run Virtual Instance, Executable Installer File Permissions Weakness, LD_PRELOAD, Services File Permissions Weakness, Process Injection, Abuse Elevation Control Mechanism, Create or Modify System Process, Hijack Execution Flow, Proc Memory, Sudo and Sudo Caching, Systemd Service, Executable Installer File Permissions Weakness, LD_PRELOAD, Services File Permissions Weakness, Server Software Component, Create or Modify System Process, Hijack Execution Flow, Transport Agent, Systemd Service, Executable Installer File Permissions Weakness, LD_PRELOAD, Services File Permissions Weakness, 	63
User Session Init Config Analysis		Event Triggered Execution, .bash_profile and .bashrc, Event Triggered Execution, .bash_profile and .bashrc, Hide Artifacts, Hidden Users, 	6
Firmware Behavior Analysis			0
Firmware Embedded Monitoring Code			0
Process Analysis			0
Database Query String Analysis		Exploit Public-Facing Application, 	1
File Access Pattern Analysis			0
Indirect Branch Call Analysis			0
Process Code Segment Verification		Process Injection, Exploitation for Defense Evasion, Process Hollowing, Process Injection, Exploitation for Privilege Escalation, Process Hollowing, Input Capture, Credential API Hooking, Input Capture, Exploitation for Credential Access, Credential API Hooking, Exploitation for Client Execution, Exploitation of Remote Services, 	13
Process Self-Modification Detection		OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Event Triggered Execution, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Asynchronous Procedure Call, Process Doppelgänging, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Bypass User Access Control, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Impair Defenses, Asynchronous Procedure Call, Process Doppelgänging, Bypass User Access Control, Disable or Modify Tools, 	46
Process Spawn Analysis		OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Event Triggered Execution, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Asynchronous Procedure Call, Process Doppelgänging, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Bypass User Access Control, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Impair Defenses, Asynchronous Procedure Call, Process Doppelgänging, Bypass User Access Control, Disable or Modify Tools, 	46
Process Lineage Analysis		Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Abuse Elevation Control Mechanism, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Process Doppelgänging, Asynchronous Procedure Call, Bypass User Access Control, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Abuse Elevation Control Mechanism, Impair Defenses, Process Injection, Deobfuscate/Decode Files or Information, Bypass User Access Control, Disable or Modify Tools, Asynchronous Procedure Call, Process Doppelgänging, OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, 	46
Script Execution Analysis			0
Shadow Stack Comparisons		Exploitation for Privilege Escalation, Exploitation for Client Execution, Exploitation of Remote Services, Exploitation for Defense Evasion, Exploitation for Credential Access, 	5
System Call Analysis		Masquerading, Process Injection, Access Token Manipulation, Virtualization/Sandbox Evasion, Abuse Elevation Control Mechanism, Match Legitimate Name or Location, Dynamic-link Library Injection, Thread Execution Hijacking, Asynchronous Procedure Call, Thread Local Storage, Ptrace System Calls, Process Doppelgänging, VDSO Hijacking, Parent PID Spoofing, Time Based Evasion, Elevated Execution with Prompt, Scheduled Task/Job Execution, Native API Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Process Injection, Access Token Manipulation, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Dynamic-link Library Injection, Thread Execution Hijacking, Asynchronous Procedure Call, Thread Local Storage, Ptrace System Calls, Process Doppelgänging, VDSO Hijacking, Parent PID Spoofing, Elevated Execution with Prompt, 	47
User Behavior Analysis			0
Authentication Event Thresholding		Valid Accounts, Use Alternate Authentication Material, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Pass The Hash, Pass The Ticket, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Brute Force, Forced Authentication, Password Guessing, Password Spraying, Credential Stuffing, Use Alternate Authentication Material, Pass The Hash, Pass The Ticket, 	33
Authorization Event Thresholding		Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, 	22
Job Function Access Pattern Analysis		Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, 	22
Resource Access Pattern Analysis		Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Use Alternate Authentication Material, Cloud Accounts, Default Accounts, Domain Accounts, Local Accounts, Pass The Hash, Pass The Ticket, Use Alternate Authentication Material, Pass The Hash, Pass The Ticket, Brute Force, Forced Authentication, Password Guessing, Password Spraying, Credential Stuffing, 	33
User Data Transfer Analysis			0
User Geolocation Logon Pattern Analysis		Application Layer Protocol, Proxy, Web Service, Data Encoding, Traffic Signaling, Data Obfuscation, Fallback Channels, Non-Application Layer Protocol, Remote Access Software, Dynamic Resolution, Non-Standard Port, Protocol Tunneling, Encrypted Channel, Multi-Stage Channels, Ingress Tool Transfer, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, External Remote Services, Exploit Public-Facing Application, Trusted Relationship, Drive-by Compromise, Phishing, Spearphishing Attachment, Spearphishing Link, External Remote Services, BITS Jobs, Traffic Signaling, Event Triggered Execution, Account Manipulation, Port Knocking, Accessibility Features, Windows Management Instrumentation Event Subscription, Additional Azure Service Principal Credentials, BITS Jobs, Traffic Signaling, Use Alternate Authentication Material, Rogue Domain Controller, Port Knocking, Web Session Cookie, Application Access Token, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, Use Alternate Authentication Material, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Application Access Token, Web Session Cookie, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, User Execution, Malicious Link Execution, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	110
Web Session Activity Analysis			0
Session Duration Analysis		Valid Accounts, Use Alternate Authentication Material, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Pass The Hash, Pass The Ticket, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, External Remote Services, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Brute Force, Forced Authentication, Password Guessing, Password Spraying, Credential Stuffing, Use Alternate Authentication Material, Pass The Hash, Pass The Ticket, 	33
Execution Isolation			0
Hardware-based Process Isolation		OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Event Triggered Execution, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Asynchronous Procedure Call, Process Doppelgänging, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Bypass User Access Control, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Impair Defenses, Asynchronous Procedure Call, Process Doppelgänging, Bypass User Access Control, Disable or Modify Tools, 	46
Mandatory Access Control		OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Event Triggered Execution, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Asynchronous Procedure Call, Process Doppelgänging, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Bypass User Access Control, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Impair Defenses, Asynchronous Procedure Call, Process Doppelgänging, Bypass User Access Control, Disable or Modify Tools, 	46
Executable Denylisting		Event Triggered Execution, Boot or Logon Autostart Execution, Process Injection, Abuse Elevation Control Mechanism, Hijack Execution Flow, Boot or Logon Initialization Scripts, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Screensaver, Registry Run Keys / Startup Folder, Shortcut Modification, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Boot or Logon Autostart Execution, Hijack Execution Flow, Boot or Logon Initialization Scripts, Office Application Startup, Server Software Component, Event Triggered Execution, Registry Run Keys / Startup Folder, Shortcut Modification, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Office Template Macros, Web Shell, Screensaver, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, PowerShell Profile, Component Object Model Hijacking, Obfuscated Files or Information, Masquerading, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Hijack Execution Flow, Impair Defenses, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Thread Execution Hijacking, Bypass User Access Control, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, Impair Command History Logging, Command and Scripting Interpreter Execution, User Execution, JavaScript/JScript, PowerShell Execution, AppleScript Execution, Windows Command Shell Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, Malicious File Execution, Data Manipulation, Runtime Data Manipulation, 	77
Executable Allowlisting		Obfuscated Files or Information, Masquerading, Process Injection, Binary Padding, Invalid Code Signature, Thread Execution Hijacking, Process Injection, Event Triggered Execution, Thread Execution Hijacking, LC_LOAD_DYLIB Addition, Accessibility Features, Component Object Model Hijacking, Event Triggered Execution, LC_LOAD_DYLIB Addition, Accessibility Features, Component Object Model Hijacking, 	16
Network Isolation			0
Broadcast Domain Isolation			0
Encrypted Tunnels			0
Inbound Traffic Filtering		Application Layer Protocol, Proxy, Web Service, Data Encoding, Traffic Signaling, Dynamic Resolution, Encrypted Channel, Data Obfuscation, Fallback Channels, Non-Application Layer Protocol, Multi-Stage Channels, Ingress Tool Transfer, Remote Access Software, Non-Standard Port, Protocol Tunneling, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Junk Data, Steganography, Protocol Impersonation, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, Man-in-the-Middle, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, LLMNR/NBT-NS Poisoning and SMB Relay, Traffic Signaling, Use Alternate Authentication Material, BITS Jobs, Rogue Domain Controller, Port Knocking, Application Access Token, Web Session Cookie, Traffic Signaling, BITS Jobs, External Remote Services, Account Manipulation, Event Triggered Execution, Port Knocking, Additional Azure Service Principal Credentials, Windows Management Instrumentation Event Subscription, Accessibility Features, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, External Remote Services, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, Phishing, Spearphishing Attachment, Spearphishing Link, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, User Execution, Malicious Link Execution, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	110
Outbound Traffic Filtering		Application Layer Protocol, Proxy, Web Service, Data Encoding, Traffic Signaling, Data Obfuscation, Fallback Channels, Non-Application Layer Protocol, Multi-Stage Channels, Ingress Tool Transfer, Remote Access Software, Dynamic Resolution, Non-Standard Port, Encrypted Channel, Protocol Tunneling, Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Internal Proxy, External Proxy, Multi-hop Proxy, Domain Fronting, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Standard Encoding, Non-Standard Encoding, Port Knocking, Junk Data, Steganography, Protocol Impersonation, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, Symmetric Cryptography, Asymmetric Cryptography, Man in the Browser, Man-in-the-Middle, LLMNR/NBT-NS Poisoning and SMB Relay, Man-in-the-Middle, OS Credential Dumping, Brute Force, Steal or Forge Kerberos Tickets, LLMNR/NBT-NS Poisoning and SMB Relay, DCSync, Password Spraying, Credential Stuffing, Kerberoasting, Remote Services, Exploitation of Remote Services, Remote Service Session Hijacking, Lateral Tool Transfer, Use Alternate Authentication Material, Remote Desktop Protocol, SMB/Windows Admin Shares, Distributed Component Object Model, SSH, VNC, Windows Remote Management, SSH Hijacking, RDP Hijacking, Application Access Token, Web Session Cookie, External Remote Services, BITS Jobs, Traffic Signaling, Event Triggered Execution, Account Manipulation, Port Knocking, Accessibility Features, Windows Management Instrumentation Event Subscription, Additional Azure Service Principal Credentials, Drive-by Compromise, Exploit Public-Facing Application, Trusted Relationship, External Remote Services, Phishing, Spearphishing Attachment, Spearphishing Link, Exfiltration Over Other Network Medium, Automated Exfiltration, Scheduled Transfer, Data Transfer Size Limits, Exfiltration Over C2 Channel, Exfiltration Over Alternative Protocol, Exfiltration Over Web Service, Exfiltration Over Symmetric Encrypted Non-C2 Protocol, Exfiltration Over Asymmetric Encrypted Non-C2 Protocol, Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol, Exfiltration to Code Repository, Exfiltration to Cloud Storage, BITS Jobs, Traffic Signaling, Use Alternate Authentication Material, Rogue Domain Controller, Port Knocking, Web Session Cookie, Application Access Token, Network Denial of Service, Data Manipulation, Direct Network Flood, Reflection Amplification, Service Exhaustion Flood, Transmitted Data Manipulation, User Execution, Malicious Link Execution, Event Triggered Execution, Windows Management Instrumentation Event Subscription, Accessibility Features, 	110
DNS Allowlisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
DNS Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Forward Resolution Domain Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Hierarchical Domain Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Homoglyph Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Forward Resolution IP Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Reverse Resolution Domain Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Reverse Resolution IP Denylisting		Application Layer Protocol, Dynamic Resolution, DNS, Fast Flux DNS, Domain Generation Algorithms, DNS Calculation, 	6
Decoy Environment			0
Connected Honeynet			0
Integrated Honeynet			0
Standalone Honeynet			0
Decoy Object			0
